Session Number,Scenario Number (within session) ,"Scenario Type                   (REMEMBER: 7 positive, 2 resilience, 1 negative) ",Broad Domain 1,Broad Domain 2,Broad Domain 3,Hoos TC Title ,Staff scenario body,Staff scenario body #2 (negation scenarios only),Staff comprehension question,Staff correct response,Staff incorrect response,Staff photo link,Letters Missing,Occurrence
,2,Resilience/Negation,Family & Home Life,Romantic Relationships,,Seeing Your Ex,"You and your spouse recently divorced. Your child is having an event at school tonight, and it will be the first time you and your ex-spouse are attending as single people. You think that you will treat each other respectfully. ",N/A,Are you and your ex-spouse going to get along?,Yes,No,https://drive.google.com/file/d/1ZQt5JWW8C01c1XQC4OoVeC8SugNsBZsF/view?usp=sharing,1,3
,3,Positive ,Family & Home Life,,,Noises in the Night ,"You are home alone and it's night time. You hear a loud noise outside. You think about what it can be, and think it is your neighbors.",N/A,Should you be worried about the loud noise? ,No,,https://drive.google.com/file/d/1bKVpQyIiNjcuRjuOIeMS22QHrXDyOtVu/view?usp=sharing,1,3
,4,Positive,Family & Home Life,,,A lucky find,"You are looking for a new house. While on your first tour, you fall in love with the place and decide to sign a lease. The fact that you did not check out other houses makes you feel fine.",N/A,"When you move into your house, you will probably ...",Find that your house feels like home. ,Regret your decision. ,https://drive.google.com/file/d/1vHb2dINLjpzSvf2tdF5e5shVae0oDjxQ/view?usp=sharing,1,3
,5,Positive,Family & Home Life,,,Sharing Your Familial Traditions,"Your family has traditions that your coworkers don't share. Today at work, everyone is chatting about their families' important traditions. As you prepare to contribute to the conversation, you feel enthusiastic.",,Are you scared to talk about your family's traditions at work? ,No,,https://drive.google.com/file/d/1m14h0vaiWVri5HTTpzwzg2ZP1PlKXyLD/view?usp=sharing,1,3
,6,Negative,Family & Home Life,Mental Health,,Heading out of Town,"You are heading out of town for a few days. You decide to double-check that all the appliances in your house are turned off. As you close the door to your house, you feel nervous.",N/A,Are you worried about whether you turned off everything in the house? ,Yes,,https://drive.google.com/file/d/11L0gcPPltGMNDtkc_O6wRZAj_WWsbX7o/view?usp=sharing,1,3
,7,Resilience/Negation,Family & Home Life,,,Parents Visiting,"You are hosting a baby shower for a family member today and both your parents are attending. They're divorced and sometimes cause an embarrassing scene in public. During the shower, you think about your parents.",You take a deep breath and re-focus on hosting the shower. You decide that you can't control your parents' behavior.,Are you able to concentrate on the shower?,Yes,,https://drive.google.com/file/d/1ii9gWhb1eIlxBuU3IxPJk0q_7S0P3KqE/view?usp=sharing,1,3
,8,Positive,Family & Home Life,,,New Recipe,"You get an idea for a new recipe that involves ingredients you have never used before. You make it for your family. As everyone starts to eat, you feel proud.",N/A,Are you worried about what your family will think of your cooking? ,No,,https://drive.google.com/file/d/1vTuw-1aglVPbYE4oaEYbIP6LLuikDSFt/view?usp=sharing,1,3
,9,Positive,Family & Home Life,,,Noises from Outside,You just moved to a new house. It's dark out and you suddenly hear noises outside. You peek out the window and see a cat.,N/A,Was there something scary outside in the dark? ,No,,https://drive.google.com/file/d/11Vs9sz9BDAkaj5QCxD927t-mz-VTFWXn/view?usp=sharing,1,3
,10,Positive,Family & Home Life,,,Divorced Parents,"You're hosting a party and both your parents are attending. They're divorced and they sometimes have trouble getting along. During the event, they bicker but you are able to concentrate on your duties.",N/A,Are you able to handle your parents fighting? ,Yes,,https://drive.google.com/file/d/17W0dNbQ648WWbCLDQ3kAkeR0bT1bWMyW/view?usp=sharing,1,3
3,1,Positive,Family & Home Life,Social Situations,,Attending a dinner,"Your partner asks you to go to a dinner with their new friends. You have not met these people before and wonder what they will think of you. Getting ready to go, you think that the new people will find you interesting.",N/A,Will you be disliked by your new acquaintances? ,Yes,,https://drive.google.com/file/d/1RMWKinAHjtpGA8EDTjoC6H1qWZ9tnyh1/view?usp=sharing,1,3
,2,Negative,Family & Home Life,,,A loud sound,"You are at home alone watching TV at night. You must have been dozing, because you suddenly wake up after hearing a loud noise. You look outside and see an intruder.",N/A,Should you be frightened when you hear a noise at night?,Yes,,https://drive.google.com/file/d/112L-8dcWTlW0PBIwlzQ1tji-mxaOJI19/view?usp=sharing,1,3
,3,Positive,Family & Home Life,Academics/Work/Career Development,,Others' Opinions,"You were denied a promotion this year and know that your friend was rooting for you to get a promotion. They frown when you tell them about not getting one. You tell them that you worked extremely hard despite not getting a promotion, and they are proud of the effort you gave throughout the year.",N/A,Is your friend disappointed that you did not get the promotion?,No,,https://drive.google.com/file/d/1WzyVq9WXRsCbwmV-3XbVYvTo1EVSJtPA/view?usp=sharing,1,3
,4,Resilience/Negation,Family & Home Life,Academics/Work/Career Development,,Loud Music,Your significant other is currently playing upbeat music very loudly and you need to prepare for an important assignment. You don't want them to think you're rude if you ask them to turn down the music so that you can prepare. You approach them and feel nervous.,You take a deep breath and your significant other responds. You ask them to turn down the music and they apologize.,Was your significant other upset when you asked them to turn down the music?,No,,https://drive.google.com/file/d/1AZk7owEM2J5V91afv56x1rxdom3zjESu/view?usp=sharing,1,3
,5,Positive ,Family & Home Life,Romantic Relationships,,Overhearing an Argument,"You and your spouse got into an argument last night. While you tried to keep your voices low, your children overheard. You think that your children will be okay. ",N/A,Are your children fine?,Yes,No,https://drive.google.com/file/d/1g5l905rSslaK-uHj6vY5LZpSy42h1tjN/view?usp=sharing,1,3
,6,Positive,Family & Home Life,Academics/Work/Career Development,,New Opportunity,"You apply for a new job in a foreign country, but no one in your family has ever been abroad. You think about how your family will react when you tell them your decision and they may not like the idea of you living abroad. As you imagine telling them, you feel excited.",N/A,Are you worried about telling your family that you want to work and live abroad?,No,,https://drive.google.com/file/d/1mfPOr__w6g_DX68Qv4rp11wDL15AzfTN/view?usp=sharing,1,3
,7,Resilience/Negation,Family & Home Life,Mental Health,,Birthday Jitters,"Your friends are organizing a birthday party for you at their home. They invited a lot of people who will all be there for you. When you think about all of the people coming, you feel nervous.",You remember they are all coming to celebrate you. This makes you feel excited.,Are you excited about all the attention you will receive?,Yes,,https://drive.google.com/file/d/1UoBTJwOaRbMpWrYnOWNPOBzR-axREE4s/view?usp=sharing,1,3
,8,Positive,Family & Home Life,,,A loud sound,"You are at home alone watching TV at night. You must have been dozing, because you suddenly wake up after hearing a loud noise. You look outside and see a squirrel.",N/A,Should you be frightened when you hear a noise at night?,No,,https://drive.google.com/file/d/112L-8dcWTlW0PBIwlzQ1tji-mxaOJI19/view?usp=sharing,1,3
,9,Positive,Family & Home Life,,,Upset Parents,"When you call one of your parents they seem upset but you don't know what's wrong. They give you a short answer when you try to talk with them about it. You consider why they're mad, and realize that it is not you.",,Are they upset with you?,No,,https://drive.google.com/file/d/1LZnhgjX_Ooy4zJ7r99Iydqi6bvIOcszd/view?usp=sharing,1,3
,10,Positive,Family & Home Life,Social Situations,,Cultural Family Celebrations,"Your colleagues ask you to go to a conference, but it's the night of an important cultural celebration for your family. You are looking forward to the celebration with your family, but don't want your colleagues to think you're different. As you think about telling your colleagues, you realize that your culture is  important.",,Are you embarrassed to tell your colleagues that you can't go to the conference?,No,,https://drive.google.com/file/d/1mnjPZpYIVahZEm1gr4Zu9gKZfMCjl2Tk/view?usp=sharing,1,3
4,1,Positive,Family & Home Life,,,New Recipe,"You get an idea for a new recipe that involves ingredients you have never used before. You make it for your family. As everyone starts to eat, you feel proud.",N/A,Are you worried about what your family will think of your cooking? ,No,,https://drive.google.com/file/d/1vTuw-1aglVPbYE4oaEYbIP6LLuikDSFt/view?usp=sharing,2,3
,2,Positive,Family & Home Life,Mental Health,,A lucky find,"You are looking for a new house. While on your first tour, you fall in love with the place and decide to sign a lease. The fact that you did not check out other houses makes you feel fine.",N/A,"When you move into your house, you will probably ...",Find that your house feels like home. ,Regret your decision. ,https://drive.google.com/file/d/1vHb2dINLjpzSvf2tdF5e5shVae0oDjxQ/view?usp=sharing,2,3
,3,Resilience/Negation,Family & Home Life,Social Situations,,Family Member Tension,"You and a family member had tension build up during a conversation a couple months back. You have not talked since that interaction, but there is a holiday event coming up that you and your family member will both attend. You wonder if they will confront you again.","After thinking about it, you decide that the topic that you disagreed upon is still an important issue for you. You decide to avoid the family member to keep yourself from an uncomfortable situation.",Will you try to reengage in a conversation with the family member?,No,,https://drive.google.com/file/d/1g5l905rSslaK-uHj6vY5LZpSy42h1tjN/view?usp=sharing,2,2
